n,branch,metric,count,mean,std,min,p25,p50,p75,p90,p95,max
1000,high_aware_bad,prompt_chars,1000,359.007,307.68456370403396,74.0,163.0,192.0,501.0,780.2,954.9499999999991,2192.0
1000,high_aware_bad,prompt_lines,1000,11.283,8.80718328851384,1.0,7.0,7.0,16.0,24.0,30.0,47.0
1000,high_aware_bad,answer_chars,1000,1097.894,2430.278728760029,36.0,292.5,488.5,955.0,2281.700000000001,3589.1,29078.0
1000,high_aware_bad,answer_lines,1000,36.308,77.27373658861313,1.0,10.0,18.0,31.25,77.0,117.19999999999982,929.0
1000,high_aware_bad,answer_nonblank_lines,1000,31.28,69.2442804162941,1.0,9.0,14.0,26.0,66.0,106.04999999999995,905.0
1000,high_aware_bad,approx_cyclomatic,1000,6.844,17.47721708731448,1.0,1.0,2.0,5.0,14.100000000000023,26.049999999999955,303.0
1000,high_aware_bad,branch_count,1000,5.022,15.900828668731462,0.0,0.0,1.0,3.0,12.0,22.049999999999955,291.0
1000,high_aware_bad,loop_count,1000,0.822,2.3532645099635214,0.0,0.0,0.0,1.0,2.0,3.0,40.0
1000,high_aware_bad,call_count,1000,12.09,15.967117737677295,0.0,4.0,8.0,13.0,26.0,39.0,182.0
1000,high_aware_bad,repair_changed_line_ratio,416,0.22567675424663963,0.2701321852310987,0.001092896174863388,0.04707792207792208,0.1111111111111111,0.2972222222222222,0.6666666666666666,0.875,1.3612903225806452
1000,high_aware_bad,repair_abs_char_delta_ratio,416,0.14658236578159428,0.20549606774186083,0.0,0.018344569727518932,0.06658248290554239,0.18299009037739658,0.37835497835497833,0.6727994777499728,0.9414893617021277
1000,low_aware_bad_raw_ok,prompt_chars,1000,359.837,245.2760583012043,72.0,174.0,227.0,511.0,677.5000000000001,809.8999999999992,1704.0
1000,low_aware_bad_raw_ok,prompt_lines,1000,11.819,6.961371969640734,1.0,7.0,7.0,16.0,22.0,25.0,43.0
1000,low_aware_bad_raw_ok,answer_chars,1000,903.411,2275.2961839733753,34.0,239.0,390.5,611.25,1856.6000000000006,3019.399999999994,31587.0
1000,low_aware_bad_raw_ok,answer_lines,1000,30.033,76.70213248748777,1.0,7.0,15.0,22.0,51.0,99.0,971.0
1000,low_aware_bad_raw_ok,answer_nonblank_lines,1000,25.858,66.69271139902587,1.0,6.0,12.0,18.0,44.10000000000002,86.24999999999977,779.0
1000,low_aware_bad_raw_ok,approx_cyclomatic,1000,5.485,16.938024432373208,1.0,1.0,2.0,4.0,9.0,18.0,242.0
1000,low_aware_bad_raw_ok,branch_count,1000,3.924,15.775014265447593,0.0,0.0,0.0,2.0,7.0,17.0,236.0
1000,low_aware_bad_raw_ok,loop_count,1000,0.561,1.8627261604295862,0.0,0.0,0.0,1.0,2.0,3.0,36.0
1000,low_aware_bad_raw_ok,call_count,1000,10.449,20.10003508480546,0.0,3.0,5.0,9.0,20.0,36.049999999999955,223.0
1000,low_aware_bad_raw_ok,repair_changed_line_ratio,416,0.29950904804204287,0.2969282263643293,0.0012376237623762376,0.05482456140350877,0.16666666666666666,0.5,0.75,0.8939393939393939,1.6027397260273972
1000,low_aware_bad_raw_ok,repair_abs_char_delta_ratio,416,0.21707358234156976,0.2507580042796225,0.0,0.02569237802791627,0.11389878831076265,0.3509136212624585,0.6311877394636016,0.7723389640293339,0.9748774509803921
1000,secure_control,prompt_chars,1000,349.739,278.5122617748794,73.0,163.0,192.0,502.25,777.2,923.1499999999999,1479.0
1000,secure_control,prompt_lines,1000,11.501,8.860728610645488,1.0,7.0,7.0,16.0,25.0,30.0,46.0
1000,secure_control,answer_chars,1000,1008.55,2133.655607109486,31.0,292.75,486.5,938.75,2105.3,3082.7999999999993,29082.0
1000,secure_control,answer_lines,1000,33.291,68.39966983716978,1.0,10.0,18.0,31.0,68.0,103.0,933.0
1000,secure_control,answer_nonblank_lines,1000,28.637,61.7509709511795,1.0,9.0,14.0,26.0,58.0,85.0,909.0
1000,secure_control,approx_cyclomatic,1000,6.644,16.305371174221367,1.0,1.0,3.0,6.0,13.100000000000023,22.0,305.0
1000,secure_control,branch_count,1000,4.956,15.162386420414235,0.0,0.0,1.0,4.0,11.0,19.0,293.0
1000,secure_control,loop_count,1000,0.688,1.766855335837594,0.0,0.0,0.0,1.0,2.0,3.0,26.0
1000,secure_control,call_count,1000,11.748,15.387373631236336,0.0,4.0,7.0,13.0,25.0,39.0,185.0
1000,secure_control,repair_changed_line_ratio,0,,,,,,,,,
1000,secure_control,repair_abs_char_delta_ratio,0,,,,,,,,,
3452,high_aware_bad,prompt_chars,3452,361.68366164542294,309.138445595043,65.0,163.0,192.5,504.5,776.9000000000001,966.4499999999998,2202.0
3452,high_aware_bad,prompt_lines,3452,11.382097334878331,8.822355984429219,1.0,7.0,7.0,17.0,25.0,30.0,51.0
3452,high_aware_bad,answer_chars,3452,1116.303302433372,2463.7454402106755,25.0,280.75,474.5,935.0,2237.9,4043.1499999999915,31845.0
3452,high_aware_bad,answer_lines,3452,36.54026651216686,75.14899602316916,1.0,10.0,17.0,30.0,74.0,129.44999999999982,929.0
3452,high_aware_bad,answer_nonblank_lines,3452,31.55040556199305,67.66986574582955,1.0,8.0,14.0,25.0,64.90000000000009,115.0,905.0
3452,high_aware_bad,approx_cyclomatic,3452,6.909907300115875,17.662824349515454,1.0,1.0,2.0,5.0,14.0,27.0,303.0
3452,high_aware_bad,branch_count,3452,5.068076477404404,15.981652422352553,0.0,0.0,1.0,3.0,11.0,22.449999999999818,291.0
3452,high_aware_bad,loop_count,3452,0.8418308227114716,2.326422107659734,0.0,0.0,0.0,1.0,2.0,4.0,40.0
3452,high_aware_bad,call_count,3452,12.507821552723058,19.428272622992573,0.0,4.0,7.0,13.0,24.0,39.0,360.0
3452,high_aware_bad,repair_changed_line_ratio,1437,0.24131003349704405,0.28069501893460175,0.001092896174863388,0.041666666666666664,0.11627906976744186,0.3333333333333333,0.75,0.8888888888888888,1.5517241379310345
3452,high_aware_bad,repair_abs_char_delta_ratio,1437,0.16079230032989827,0.2216644506741036,0.0,0.016756433273488927,0.06574923547400612,0.20795107033639143,0.4570242788960368,0.7327549197676338,0.9926007556675063
3452,low_aware_bad_raw_ok,prompt_chars,3452,363.1955388180765,249.10216815602817,72.0,173.0,235.5,506.0,692.9000000000001,816.3499999999995,2076.0
3452,low_aware_bad_raw_ok,prompt_lines,3452,11.854577056778679,6.840717867693345,1.0,7.0,7.0,16.0,22.0,25.0,44.0
3452,low_aware_bad_raw_ok,answer_chars,3452,929.1491888760139,2336.561555633633,15.0,227.0,380.0,599.25,1679.800000000001,3545.0499999999984,31587.0
3452,low_aware_bad_raw_ok,answer_lines,3452,31.011877172653534,77.29810076346587,1.0,7.0,15.0,22.0,51.0,113.44999999999982,971.0
3452,low_aware_bad_raw_ok,answer_nonblank_lines,3452,26.769119351100812,68.3435824258662,1.0,6.0,12.0,18.0,44.0,100.0,909.0
3452,low_aware_bad_raw_ok,approx_cyclomatic,3452,5.776940903823871,17.967663446573617,1.0,1.0,2.0,3.0,9.0,20.0,305.0
3452,low_aware_bad_raw_ok,branch_count,3452,4.20973348783314,16.618742434456745,0.0,0.0,0.0,2.0,7.0,17.449999999999818,293.0
3452,low_aware_bad_raw_ok,loop_count,3452,0.56720741599073,2.011658851718388,0.0,0.0,0.0,1.0,2.0,3.0,68.0
3452,low_aware_bad_raw_ok,call_count,3452,10.614716106604867,20.771636957395163,0.0,3.0,5.0,9.0,20.0,36.44999999999982,332.0
3452,low_aware_bad_raw_ok,repair_changed_line_ratio,1437,0.30762146678276786,0.29819436033134394,0.001072961373390558,0.05660377358490566,0.18181818181818182,0.5,0.8,0.890058479532164,1.6027397260273972
3452,low_aware_bad_raw_ok,repair_abs_char_delta_ratio,1437,0.21924681302262544,0.2546673092598178,0.0,0.022202746129126497,0.10955056179775281,0.35170603674540685,0.6621587083476469,0.7905807842608814,0.9838175799926444
3452,secure_control,prompt_chars,3452,349.93945538818076,273.3416732604486,66.0,163.0,194.0,504.0,762.0,909.0,1706.0
3452,secure_control,prompt_lines,3452,11.524623406720742,8.80756153837287,1.0,7.0,7.0,16.0,26.0,30.0,48.0
3452,secure_control,answer_chars,3452,1029.1126882966396,2227.6061599947234,26.0,278.0,475.0,910.0,2027.8000000000002,3481.1499999999987,31682.0
3452,secure_control,answer_lines,3452,33.65643105446118,68.50435230211471,1.0,10.0,18.0,29.25,64.90000000000009,115.0,933.0
3452,secure_control,answer_nonblank_lines,3452,28.966975666280415,61.686225753905504,1.0,8.0,14.0,25.0,57.0,101.0,909.0
3452,secure_control,approx_cyclomatic,3452,6.5941483198146,16.082466427666,1.0,1.0,3.0,5.0,13.0,23.0,305.0
3452,secure_control,branch_count,3452,4.876882966396292,14.733296661016235,0.0,0.0,1.0,4.0,11.0,19.0,293.0
3452,secure_control,loop_count,3452,0.7172653534183082,1.975659695635228,0.0,0.0,0.0,1.0,2.0,3.0,36.0
3452,secure_control,call_count,3452,11.738702201622248,17.299200342190435,0.0,4.0,7.0,13.0,24.0,37.0,305.0
3452,secure_control,repair_changed_line_ratio,0,,,,,,,,,
3452,secure_control,repair_abs_char_delta_ratio,0,,,,,,,,,
